Id,Name,Address,Email,Contact No.,Description
1,ABC Company,Baneshwor,abc@gmail.com,41509210,"sofas, sectional sofa"
2,R.K Company,Koteshwor,rk@gmail.com,41509211,"table, chair, dining tables,dining chairs"
3,S.T Company,Patan,st@gmail.com,41509212,"beds, bunk beds"
4,XYZ Company,Banepa,xyz@gmail.com,41509213,"desks, bookcases"
5,R.T Company,Bhaktapur,rt@gmail.com,41509214,mattresses
6,L.C Company,Satdobato,lc@gmail.com,41509215,ottomans
7,Wood Company,Lagankhel,wood@gmail.com,41509216,"tv stands,stools"
8,D.K Company,Maitighar,dk@gmail.com,41509217,futons
9,R.J Company,Putalisadak,rj@gmail.com,41509218,"wardrobe, dressers"
10,M.J Company,Kamalpokhari,mj@gmail.com,41509219,coffee tables
